BBR!;Husnummer;Jordstykke;Anv. klasse;Opvarmet_areal;Bygningsår;Varmeinstallation;Opvarmnignsmiddel;SupplerendeVarme;Opvarmningsform;Bygningstype;Kategori;Sektor;SBi;Enhedsvarmebehov SBi kWh/m²;Varmebehov Sbi MWh/år;VpD;Enhedsvarmebehov VpD kWh/m²;Varmebehov VpD MWh/år;X;Y;Adressepunkt;Område
75;0a3f5085-8afa-32b8-e044-0003ba298018;2476862;510;52.0;1976;Elovne, elpaneler;Elektricitet;0;Elvarme;Sommerhuse;Sommerhuse;Private husholdninger;1973-1978;126.6;6.5832;1973-1978;58;3.016;695701.39;6090538.37;POINT(695701.39 6090538.37);
76;0a3f5087-4a7b-32b8-e044-0003ba298018;2114066;110;123.0;2001;Elovne, elpaneler;Elektricitet;0;Elvarme;Stuehuse til landbrugsejendom;Stuehuse til landbrugsejendom;Private husholdninger;1999-2006;81.0;9.963;>1998;73;8.979;679334.45;6108371.8;POINT(679334.45 6108371.8);
77;0a3f5085-5bb1-32b8-e044-0003ba298018;539763;120;109.5;1952;Centralvarme fra eget anlæg, et-kammer fyr;Flydende brændsel (olie, petroleum, flaskegas m.m.);2;Olie;Fritliggende enfamilieshus (parcelhus);Parcelhuse;Private husholdninger;1951-1960;154.9;16.96155;1951-1960;204;22.338;698657.73;6102442.81;POINT(698657.73 6102442.81);
78;0a3f5087-4770-32b8-e044-0003ba298018;2118703;320;52.0;2003;Centralvarme fra eget anlæg, et-kammer fyr;Flydende brændsel (olie, petroleum, flaskegas m.m.);2;Olie;Bygning til kontor, handel, lager herunder offentlig administration;Kontor, handel, lager, off. adm.;Handel og servicevirksomheder;1999-2006;89.6;4.6592;>1998;77;4.004;685030.88;6100964.01;POINT(685030.88 6100964.01);
79;0a3f5087-4531-32b8-e044-0003ba298018;2110495;110;190.0;1830;Varmepumpe;Elektricitet;2;Varmepumpe;Stuehuse til landbrugsejendom;Stuehuse til landbrugsejendom;Private husholdninger;Før 1890;184.3;35.017;<1930;211;40.09;689824.56;6106413.16;POINT(689824.56 6106413.16);
80;0a3f5087-37e7-32b8-e044-0003ba298018;2115633;210;243.0;1927;Ingen varmeinstallationer;;0;Ingen varmeinstallation;Bygning til erhvervsmæssig produktion vedrørende landbrug, gartneri, råstofudvinding o.lign;Avls- og driftsbygning;Landbrug og gartneri;1890-1930;45.0;10.935;<1930;45;10.935;680073.27;6106256.31;POINT(680073.27 6106256.31);
81;0a3f5087-2494-32b8-e044-0003ba298018;2116076;120;158.0;1924;Fjernvarme/blokvarme (radiatorsystemer eller varmluftanlæg);;0;Fjernvarme/ Blokvarme;Fritliggende enfamilieshus (parcelhus);Parcelhuse;Private husholdninger;1890-1930;164.7;26.022599999999997;<1930;209;33.022;685675.86;6099953.23;POINT(685675.86 6099953.23);
82;0a3f5085-6482-32b8-e044-0003ba298018;540918;120;146.0;1968;Centralvarme fra eget anlæg, et-kammer fyr;Flydende brændsel (olie, petroleum, flaskegas m.m.);2;Olie;Fritliggende enfamilieshus (parcelhus);Parcelhuse;Private husholdninger;1961-1972;134.3;19.607800000000005;1961-1972;143;20.878;693615.94;6098933.77;POINT(693615.94 6098933.77);
83;0a3f5087-2d3e-32b8-e044-0003ba298018;2114075;210;1154.0;2008;Ingen varmeinstallationer;;0;Ingen varmeinstallation;Bygning til erhvervsmæssig produktion vedrørende landbrug, gartneri, råstofudvinding o.lign;Avls- og driftsbygning;Landbrug og gartneri;Efter 2006;22.0;25.388;>1998;22;25.388;678950.76;6107207.23;POINT(678950.76 6107207.23);
84;53279ace-c6a2-1b90-e044-0003ba298018;2113275;510;53.0;1989;Elovne, elpaneler;Elektricitet;2;Elvarme;Sommerhuse;Sommerhuse;Private husholdninger;1979-1998;134.8;7.144400000000001;1979-1998;42;2.226;678898.63;6112050.59;POINT(678898.63 6112050.59);
85;0a3f5087-37cc-32b8-e044-0003ba298018;2111522;120;101.0;1900;Centralvarme fra eget anlæg, et-kammer fyr;Fast brændsel (kul, koks, brænde m.m.);0;Biomasse;Fritliggende enfamilieshus (parcelhus);Parcelhuse;Private husholdninger;1890-1930;164.7;16.6347;<1930;209;21.109;690073.84;6101862.4;POINT(690073.84 6101862.4);
86;0a3f5087-436b-32b8-e044-0003ba298018;2111850;120;144.0;1975;Ovne (kakkelovne, kamin, brændeovn og lignende);Flydende brændsel (olie, petroleum, flaskegas m.m.);0;Olie;Fritliggende enfamilieshus (parcelhus);Parcelhuse;Private husholdninger;1973-1978;119.8;17.2512;1973-1978;117;16.848;684784.99;6102196.77;POINT(684784.99 6102196.77);
87;0a3f5086-632e-32b8-e044-0003ba298018;1316571;210;150.0;1915;Ingen varmeinstallationer;;90;Ingen varmeinstallation;Bygning til erhvervsmæssig produktion vedrørende landbrug, gartneri, råstofudvinding o.lign;Avls- og driftsbygning;Landbrug og gartneri;1890-1930;45.0;6.75;<1930;45;6.75;701703.62;6108973.9;POINT(701703.62 6108973.9);
88;0a3f5085-60ce-32b8-e044-0003ba298018;540744;120;132.0;1827;Centralvarme fra eget anlæg, et-kammer fyr;Flydende brændsel (olie, petroleum, flaskegas m.m.);4;Olie;Fritliggende enfamilieshus (parcelhus);Parcelhuse;Private husholdninger;Før 1890;170.3;22.4796;<1930;209;27.588;697366.81;6098018.57;POINT(697366.81 6098018.57);
89;0a3f5086-690b-32b8-e044-0003ba298018;1316815;510;89.0;1990;Elovne, elpaneler;Elektricitet;2;Elvarme;Sommerhuse;Sommerhuse;Private husholdninger;1979-1998;134.8;11.997200000000001;1979-1998;42;3.738;702002.23;6110587.93;POINT(702002.23 6110587.93);
90;0a3f5085-8d8a-32b8-e044-0003ba298018;2477527;120;168.0;1959;Centralvarme fra eget anlæg, et-kammer fyr;Flydende brændsel (olie, petroleum, flaskegas m.m.);0;Olie;Fritliggende enfamilieshus (parcelhus);Parcelhuse;Private husholdninger;1951-1960;154.9;26.0232;1951-1960;204;34.272;720392.08;6099838.26;POINT(720392.08 6099838.26);
91;0a3f5085-6698-32b8-e044-0003ba298018;542397;210;220.0;1936;Ingen varmeinstallationer;;0;Ingen varmeinstallation;Bygning til erhvervsmæssig produktion vedrørende landbrug, gartneri, råstofudvinding o.lign;Avls- og driftsbygning;Landbrug og gartneri;1931-1950;45.0;9.9;1931-1950;45;9.9;696471.9;6106231.82;POINT(696471.9 6106231.82);
92;0a3f5086-6b97-32b8-e044-0003ba298018;1316159;510;37.0;1982;Elovne, elpaneler;Elektricitet;0;Elvarme;Sommerhuse;Sommerhuse;Private husholdninger;1979-1998;134.8;4.9876000000000005;1979-1998;42;1.554;701827.2;6110735.36;POINT(701827.2 6110735.36);
93;0a3f5087-4c9e-32b8-e044-0003ba298018;2112930;110;210.0;2014;Varmepumpe;Elektricitet;0;Varmepumpe;Stuehuse til landbrugsejendom;Stuehuse til landbrugsejendom;Private husholdninger;Efter 2006;66.6;13.985999999999999;>1998;73;15.33;686419.05;6102188.58;POINT(686419.05 6102188.58);
94;0a3f5085-8993-32b8-e044-0003ba298018;2490445;580;24.0;2015;Varmepumpe;Elektricitet;0;Varmepumpe;;;;Efter 2006;0.0;0.0;>1998;0;0.0;710315.56;6103437.88;POINT(710315.56 6103437.88);
95;0a3f5086-7088-32b8-e044-0003ba298018;1317809;140;119.0;1986;Fjernvarme/blokvarme (radiatorsystemer eller varmluftanlæg);;0;Fjernvarme/ Blokvarme;Etageboligbebyggelse;Etageboligbebyggelse;Private husholdninger;1979-1998;108.5;12.9115;1979-1998;80;9.52;694607.48;6112395.81;POINT(694607.48 6112395.81);
96;0a3f5085-83c5-32b8-e044-0003ba298018;2481402;120;92.0;1930;Centralvarme fra eget anlæg, et-kammer fyr;Flydende brændsel (olie, petroleum, flaskegas m.m.);0;Olie;Fritliggende enfamilieshus (parcelhus);Parcelhuse;Private husholdninger;1890-1930;164.7;15.1524;<1930;209;19.228;716749.45;6096812.18;POINT(716749.45 6096812.18);
97;0a3f5087-4dc4-32b8-e044-0003ba298018;2120767;120;207.0;2010;Fjernvarme/blokvarme (radiatorsystemer eller varmluftanlæg);;0;Fjernvarme/ Blokvarme;Fritliggende enfamilieshus (parcelhus);Parcelhuse;Private husholdninger;Efter 2006;67.3;13.931099999999999;>1998;72;14.904;685299.07;6098523.71;POINT(685299.07 6098523.71);
98;0a3f5087-32c4-32b8-e044-0003ba298018;2119347;120;159.0;1972;Centralvarme fra eget anlæg, et-kammer fyr;Naturgas;5;Naturgas;Fritliggende enfamilieshus (parcelhus);Parcelhuse;Private husholdninger;1961-1972;134.3;21.3537;1961-1972;143;22.737;689268.32;6099273.14;POINT(689268.32 6099273.14);
99;0a3f5087-309f-32b8-e044-0003ba298018;2110986;120;92.0;1976;Centralvarme fra eget anlæg, et-kammer fyr;Flydende brændsel (olie, petroleum, flaskegas m.m.);0;Olie;Fritliggende enfamilieshus (parcelhus);Parcelhuse;Private husholdninger;1973-1978;119.8;11.021600000000001;1973-1978;117;10.764;689323.98;6103530.24;POINT(689323.98 6103530.24);
100;0a3f5085-5ce4-32b8-e044-0003ba298018;540476;510;61.0;1991;Elovne, elpaneler;Elektricitet;0;Elvarme;Sommerhuse;Sommerhuse;Private husholdninger;1979-1998;134.8;8.222800000000001;1979-1998;42;2.562;702622.67;6099635.31;POINT(702622.67 6099635.31);
101;0a3f5086-69d7-32b8-e044-0003ba298018;1318368;510;17.0;1900;Ingen varmeinstallationer;;0;Ingen varmeinstallation;Sommerhuse;Sommerhuse;Private husholdninger;1890-1930;162.5;2.7625;<1930;74;1.258;693175.94;6111418.28;POINT(693175.94 6111418.28);
102;0a3f5085-8458-32b8-e044-0003ba298018;2490215;110;92.0;1880;Centralvarme fra eget anlæg, et-kammer fyr;Flydende brændsel (olie, petroleum, flaskegas m.m.);0;Olie;Stuehuse til landbrugsejendom;Stuehuse til landbrugsejendom;Private husholdninger;Før 1890;184.3;16.9556;<1930;211;19.412;709282.19;6094934.89;POINT(709282.19 6094934.89);
103;0a3f5087-40c3-32b8-e044-0003ba298018;2112935;160;379.0;1875;Centralvarme fra eget anlæg, et-kammer fyr;Fast brændsel (kul, koks, brænde m.m.);0;Biomasse;Døgninstitutioner;Døgninstitutioner;Kommunale og andre offentlige institutioner;Før 1890;164.1;62.1939;<1930;268;101.572;686815.87;6102472.84;POINT(686815.87 6102472.84);
104;19910d90-00c3-41c9-e044-0003ba298018;2663151;130;108.0;2008;Centralvarme fra eget anlæg, et-kammer fyr;Flydende brændsel (olie, petroleum, flaskegas m.m.);0;Olie;Række-, kæde-, dobbelthus (lodret adskillelse mellem enhederne);Række-, kæde og dobbelthuse;Private husholdninger;Efter 2006;66.4;7.171200000000001;>1998;65;7.02;700453.67;6099204.5;POINT(700453.67 6099204.5);
105;0a3f5085-8fc4-32b8-e044-0003ba298018;2493731;510;44.0;1972;Elovne, elpaneler;Elektricitet;0;Elvarme;Sommerhuse;Sommerhuse;Private husholdninger;1961-1972;154.6;6.8024;1961-1972;58;2.552;711605.16;6102918.15;POINT(711605.16 6102918.15);
106;0a3f5087-3dde-32b8-e044-0003ba298018;2116540;120;150.0;2005;Varmepumpe;Elektricitet;2;Varmepumpe;Fritliggende enfamilieshus (parcelhus);Parcelhuse;Private husholdninger;1999-2006;83.9;12.585;>1998;72;10.8;689270.82;6099496.02;POINT(689270.82 6099496.02);
107;0a3f5085-6513-32b8-e044-0003ba298018;543752;120;144.0;1980;Elovne, elpaneler;Elektricitet;0;Elvarme;Fritliggende enfamilieshus (parcelhus);Parcelhuse;Private husholdninger;1979-1998;105.4;15.1776;1979-1998;90;12.96;700389.55;6099075.29;POINT(700389.55 6099075.29);
108;0a3f5085-9329-32b8-e044-0003ba298018;2481769;510;66.0;2011;Elovne, elpaneler;Elektricitet;2;Elvarme;Sommerhuse;Sommerhuse;Private husholdninger;Efter 2006;73.1;4.824599999999999;>1998;40;2.64;716949.04;6096735.79;POINT(716949.04 6096735.79);
109;0a3f5086-7019-32b8-e044-0003ba298018;1315000;210;108.0;1900;Ingen varmeinstallationer;;0;Ingen varmeinstallation;Bygning til erhvervsmæssig produktion vedrørende landbrug, gartneri, råstofudvinding o.lign;Avls- og driftsbygning;Landbrug og gartneri;1890-1930;45.0;4.86;<1930;45;4.86;696513.56;6108721.99;POINT(696513.56 6108721.99);
110;0a3f5086-6e3e-32b8-e044-0003ba298018;1493179;210;150.0;1937;Ingen varmeinstallationer;;0;Ingen varmeinstallation;Bygning til erhvervsmæssig produktion vedrørende landbrug, gartneri, råstofudvinding o.lign;Avls- og driftsbygning;Landbrug og gartneri;1931-1950;45.0;6.75;1931-1950;45;6.75;697645.54;6110292.87;POINT(697645.54 6110292.87);
111;0a3f5085-93ea-32b8-e044-0003ba298018;2482342;210;24.0;1945;Ingen varmeinstallationer;;0;Ingen varmeinstallation;Bygning til erhvervsmæssig produktion vedrørende landbrug, gartneri, råstofudvinding o.lign;Avls- og driftsbygning;Landbrug og gartneri;1931-1950;45.0;1.08;1931-1950;45;1.08;716819.84;6101473.0;POINT(716819.84 6101473);
112;0a3f5087-3a08-32b8-e044-0003ba298018;2116781;120;96.0;2019;Varmepumpe;Elektricitet;2;Varmepumpe;Fritliggende enfamilieshus (parcelhus);Parcelhuse;Private husholdninger;Efter 2006;67.3;6.460799999999999;>1998;72;6.912;690476.45;6098434.43;POINT(690476.45 6098434.43);
113;0a3f5086-67f6-32b8-e044-0003ba298018;1316324;510;44.0;1960;Ovne (kakkelovne, kamin, brændeovn og lignende);Fast brændsel (kul, koks, brænde m.m.);0;Biomasse;Sommerhuse;Sommerhuse;Private husholdninger;1951-1960;176.7;7.774799999999999;1951-1960;74;3.256;700175.49;6113653.9;POINT(700175.49 6113653.9);
114;0a3f5085-983b-32b8-e044-0003ba298018;2582456;120;77.0;1910;Elovne, elpaneler;Elektricitet;2;Elvarme;Fritliggende enfamilieshus (parcelhus);Parcelhuse;Private husholdninger;1890-1930;164.7;12.681899999999999;<1930;209;16.093;716486.0;6098600.02;POINT(716486 6098600.02);
115;0a3f5086-65ce-32b8-e044-0003ba298018;1315879;120;150.0;1827;Centralvarme fra eget anlæg, et-kammer fyr;Fast brændsel (kul, koks, brænde m.m.);0;Biomasse;Fritliggende enfamilieshus (parcelhus);Parcelhuse;Private husholdninger;Før 1890;170.3;25.545;<1930;209;31.35;689064.41;6110506.23;POINT(689064.41 6110506.23);
116;cd8b314c-dd7f-4e70-845a-82e1153d4bd8;2488847;330;735.0;2006;Fjernvarme/blokvarme (radiatorsystemer eller varmluftanlæg);;90;Fjernvarme/ Blokvarme;Bygning til hotel, restaurant, vaskeri, frisør og anden servicevirksomhed;Hotel, restauration, frisør o;Handel og servicevirksomheder;1999-2006;122.6;90.111;>1998;123;90.405;710191.9;6097824.61;POINT(710191.9 6097824.61);
117;0a3f5085-a228-32b8-e044-0003ba298018;2492509;120;110.0;1910;Elovne, elpaneler;Elektricitet;80;Elvarme;Fritliggende enfamilieshus (parcelhus);Parcelhuse;Private husholdninger;1890-1930;164.7;18.117;<1930;209;22.99;709481.1;6097341.33;POINT(709481.1 6097341.33);
118;0a3f5087-3484-32b8-e044-0003ba298018;2110874;120;109.0;1968;Centralvarme fra eget anlæg, et-kammer fyr;Naturgas;0;Naturgas;Fritliggende enfamilieshus (parcelhus);Parcelhuse;Private husholdninger;1961-1972;134.3;14.6387;1961-1972;143;15.587;688349.87;6102769.56;POINT(688349.87 6102769.56);
119;0a3f5087-4265-32b8-e044-0003ba298018;2117776;440;590.5;1980;Fjernvarme/blokvarme (radiatorsystemer eller varmluftanlæg);;0;Fjernvarme/ Blokvarme;Daginstitutioner;Daginstitutioner;Kommunale og andre offentlige institutioner;1979-1998;143.5;84.73675;1979-1998;129;76.1745;686179.39;6100255.3;POINT(686179.39 6100255.3);
120;0a3f5087-402d-32b8-e044-0003ba298018;2120559;120;96.0;1958;Fjernvarme/blokvarme (radiatorsystemer eller varmluftanlæg);;0;Fjernvarme/ Blokvarme;Fritliggende enfamilieshus (parcelhus);Parcelhuse;Private husholdninger;1951-1960;154.9;14.870400000000002;1951-1960;204;19.584;684236.78;6099188.82;POINT(684236.78 6099188.82);
121;0a3f5087-4eaf-32b8-e044-0003ba298018;2111602;130;184.0;1986;Elovne, elpaneler;Elektricitet;0;Elvarme;Række-, kæde-, dobbelthus (lodret adskillelse mellem enhederne);Række-, kæde og dobbelthuse;Private husholdninger;1979-1998;96.8;17.8112;1979-1998;74;13.616;689730.52;6103648.64;POINT(689730.52 6103648.64);
122;0a3f5085-a402-32b8-e044-0003ba298018;2492703;120;110.0;1940;Ovne (kakkelovne, kamin, brændeovn og lignende);Fast brændsel (kul, koks, brænde m.m.);3;Biomasse;Fritliggende enfamilieshus (parcelhus);Parcelhuse;Private husholdninger;1931-1950;164.1;18.051;1931-1950;217;23.87;709726.52;6097105.27;POINT(709726.52 6097105.27);
123;0a3f5085-8b77-32b8-e044-0003ba298018;2482810;210;213.0;1876;Elovne, elpaneler;Elektricitet;90;Elvarme;Bygning til erhvervsmæssig produktion vedrørende landbrug, gartneri, råstofudvinding o.lign;Avls- og driftsbygning;Landbrug og gartneri;Før 1890;45.0;9.585;<1930;45;9.585;703312.41;6087879.4;POINT(703312.41 6087879.4);
124;0a3f5085-681e-32b8-e044-0003ba298018;540803;310;99.0;1959;Ingen varmeinstallationer;;0;Ingen varmeinstallation;Transport- og garageanlæg (fragtmandshal, lufthavnsbygning, banegårdsbygning, parkeringshus).;Transport- eller garageanlæg;Handel og servicevirksomheder;1951-1960;124.0;12.276;1951-1960;124;12.276;694264.82;6098563.0;POINT(694264.82 6098563);
125;0a3f5085-8563-32b8-e044-0003ba298018;2480437;320;35.0;1965;Ingen varmeinstallationer;;0;Ingen varmeinstallation;Bygning til kontor, handel, lager herunder offentlig administration;Kontor, handel, lager, off. adm.;Handel og servicevirksomheder;1961-1972;117.5;4.1125;1961-1972;105;3.675;717601.53;6099685.2;POINT(717601.53 6099685.2);
126;0a3f5085-5bb7-32b8-e044-0003ba298018;539746;120;72.0;1900;Centralvarme fra eget anlæg, et-kammer fyr;Flydende brændsel (olie, petroleum, flaskegas m.m.);2;Olie;Fritliggende enfamilieshus (parcelhus);Parcelhuse;Private husholdninger;1890-1930;164.7;11.8584;<1930;209;15.048;698810.51;6102442.89;POINT(698810.51 6102442.89);
127;0a3f5087-398e-32b8-e044-0003ba298018;2113943;210;139.0;1959;Ingen varmeinstallationer;;0;Ingen varmeinstallation;Bygning til erhvervsmæssig produktion vedrørende landbrug, gartneri, råstofudvinding o.lign;Avls- og driftsbygning;Landbrug og gartneri;1951-1960;45.0;6.255;1951-1960;45;6.255;680539.5;6110620.21;POINT(680539.5 6110620.21);
128;0a3f5087-43de-32b8-e044-0003ba298018;2117766;140;244.0;1981;Fjernvarme/blokvarme (radiatorsystemer eller varmluftanlæg);;0;Fjernvarme/ Blokvarme;Etageboligbebyggelse;Etageboligbebyggelse;Private husholdninger;1979-1998;108.5;26.474;1979-1998;80;19.52;686284.6;6100206.32;POINT(686284.6 6100206.32);
129;0a3f5087-3035-32b8-e044-0003ba298018;2110679;210;316.0;1962;Ingen varmeinstallationer;;0;Ingen varmeinstallation;Bygning til erhvervsmæssig produktion vedrørende landbrug, gartneri, råstofudvinding o.lign;Avls- og driftsbygning;Landbrug og gartneri;1961-1972;33.0;10.428;1961-1972;33;10.428;689093.71;6100101.97;POINT(689093.71 6100101.97);
130;0a3f5085-82f3-32b8-e044-0003ba298018;2476694;410;250.0;1852;Ingen varmeinstallationer;;0;Ingen varmeinstallation;Bygning til biograf, teater, erhvervsmæssig udstilling, bibliotek, museum, kirke o.lign.;Bibliotek, kirke, museum o.l.;Kommunale og andre offentlige institutioner;Før 1890;166.0;41.5;<1930;140;35.0;695471.14;6090035.4;POINT(695471.14 6090035.4);
131;0a3f5085-9e27-32b8-e044-0003ba298018;2486753;120;129.0;1925;Centralvarme fra eget anlæg, et-kammer fyr;Flydende brændsel (olie, petroleum, flaskegas m.m.);90;Olie;Fritliggende enfamilieshus (parcelhus);Parcelhuse;Private husholdninger;1890-1930;164.7;21.246299999999998;<1930;209;26.961;722696.95;6096888.44;POINT(722696.95 6096888.44);
132;0a3f5085-8bd6-32b8-e044-0003ba298018;2477994;120;269.0;1998;Elovne, elpaneler;Elektricitet;2;Elvarme;Fritliggende enfamilieshus (parcelhus);Parcelhuse;Private husholdninger;1979-1998;105.4;28.352600000000002;1979-1998;90;24.21;709183.86;6092854.55;POINT(709183.86 6092854.55);
133;0a3f5087-4460-32b8-e044-0003ba298018;2114236;510;66.0;1969;Elovne, elpaneler;Elektricitet;0;Elvarme;Sommerhuse;Sommerhuse;Private husholdninger;1961-1972;154.6;10.2036;1961-1972;58;3.828;673591.48;6111281.57;POINT(673591.48 6111281.57);
134;0a3f5085-86d3-32b8-e044-0003ba298018;2483167;210;434.0;1980;Ingen varmeinstallationer;;0;Ingen varmeinstallation;Bygning til erhvervsmæssig produktion vedrørende landbrug, gartneri, råstofudvinding o.lign;Avls- og driftsbygning;Landbrug og gartneri;1979-1998;22.0;9.548;1979-1998;22;9.548;705649.97;6089017.68;POINT(705649.97 6089017.68);
135;0a3f5086-6e01-32b8-e044-0003ba298018;1316059;510;89.0;2006;Elovne, elpaneler;Elektricitet;2;Elvarme;Sommerhuse;Sommerhuse;Private husholdninger;1999-2006;90.8;8.081199999999999;>1998;40;3.56;702177.32;6110695.46;POINT(702177.32 6110695.46);
136;0a3f5087-45f4-32b8-e044-0003ba298018;2116390;310;125.0;1960;Ingen varmeinstallationer;;0;Ingen varmeinstallation;Transport- og garageanlæg (fragtmandshal, lufthavnsbygning, banegårdsbygning, parkeringshus).;Transport- eller garageanlæg;Handel og servicevirksomheder;1951-1960;124.0;15.5;1951-1960;124;15.5;686322.02;6099568.71;POINT(686322.02 6099568.71);
137;0a3f5085-a26f-32b8-e044-0003ba298018;2483187;210;50.0;2006;Ingen varmeinstallationer;;0;Ingen varmeinstallation;Bygning til erhvervsmæssig produktion vedrørende landbrug, gartneri, råstofudvinding o.lign;Avls- og driftsbygning;Landbrug og gartneri;1999-2006;22.0;1.1;>1998;22;1.1;705226.86;6088434.38;POINT(705226.86 6088434.38);
138;0a3f5086-6eff-32b8-e044-0003ba298018;1316637;120;153.0;1983;Elovne, elpaneler;Elektricitet;0;Elvarme;Fritliggende enfamilieshus (parcelhus);Parcelhuse;Private husholdninger;1979-1998;105.4;16.1262;1979-1998;90;13.77;700884.93;6108665.2;POINT(700884.93 6108665.2);
139;0a3f5087-40f1-32b8-e044-0003ba298018;2574655;120;48.0;1880;Varmepumpe;Elektricitet;2;Varmepumpe;Fritliggende enfamilieshus (parcelhus);Parcelhuse;Private husholdninger;Før 1890;170.3;8.1744;<1930;209;10.032;685445.16;6106930.0;POINT(685445.16 6106930);
140;0a3f5087-3d87-32b8-e044-0003ba298018;2116399;330;425.5;1983;Elovne, elpaneler;Elektricitet;0;Elvarme;Bygning til hotel, restaurant, vaskeri, frisør og anden servicevirksomhed;Hotel, restauration, frisør o;Handel og servicevirksomheder;1979-1998;141.8;60.3359;1979-1998;123;52.3365;686523.38;6099171.94;POINT(686523.38 6099171.94);
141;0a3f5086-63a2-32b8-e044-0003ba298018;1317744;120;202.0;1971;Centralvarme fra eget anlæg, et-kammer fyr;Naturgas;0;Naturgas;Fritliggende enfamilieshus (parcelhus);Parcelhuse;Private husholdninger;1961-1972;134.3;27.128600000000002;1961-1972;143;28.886;694848.8;6112032.81;POINT(694848.8 6112032.81);
142;0a3f5085-9e72-32b8-e044-0003ba298018;2489892;210;234.0;1915;Ingen varmeinstallationer;;90;Ingen varmeinstallation;Bygning til erhvervsmæssig produktion vedrørende landbrug, gartneri, råstofudvinding o.lign;Avls- og driftsbygning;Landbrug og gartneri;1890-1930;45.0;10.53;<1930;45;10.53;710164.53;6102711.02;POINT(710164.53 6102711.02);
143;0a3f5086-6446-32b8-e044-0003ba298018;1317488;310;230.0;1939;Ingen varmeinstallationer;;0;Ingen varmeinstallation;Transport- og garageanlæg (fragtmandshal, lufthavnsbygning, banegårdsbygning, parkeringshus).;Transport- eller garageanlæg;Handel og servicevirksomheder;1931-1950;124.0;28.52;1931-1950;124;28.52;693435.16;6110670.19;POINT(693435.16 6110670.19);
144;0a3f5085-98f9-32b8-e044-0003ba298018;2494126;580;16.0;2001;Elovne, elpaneler;Elektricitet;0;Elvarme;;;;1999-2006;0.0;0.0;>1998;0;0.0;709098.6;6105016.79;POINT(709098.6 6105016.79);
145;0a3f5086-6727-32b8-e044-0003ba298018;1317100;120;165.0;1999;Centralvarme fra eget anlæg, et-kammer fyr;Fast brændsel (kul, koks, brænde m.m.);90;Biomasse;Fritliggende enfamilieshus (parcelhus);Parcelhuse;Private husholdninger;1999-2006;83.9;13.843500000000002;>1998;72;11.88;699640.74;6110680.34;POINT(699640.74 6110680.34);
146;0a3f5085-9e4c-32b8-e044-0003ba298018;2488959;120;159.0;1971;Fjernvarme/blokvarme (radiatorsystemer eller varmluftanlæg);;5;Fjernvarme/ Blokvarme;Fritliggende enfamilieshus (parcelhus);Parcelhuse;Private husholdninger;1961-1972;134.3;21.3537;1961-1972;143;22.737;709638.87;6099082.21;POINT(709638.87 6099082.21);
147;0a3f5087-48b7-32b8-e044-0003ba298018;2114976;210;78.0;1877;Ingen varmeinstallationer;;0;Ingen varmeinstallation;Bygning til erhvervsmæssig produktion vedrørende landbrug, gartneri, råstofudvinding o.lign;Avls- og driftsbygning;Landbrug og gartneri;Før 1890;45.0;3.51;<1930;45;3.51;685887.77;6111249.26;POINT(685887.77 6111249.26);
148;0a3f5085-92bc-32b8-e044-0003ba298018;2490139;120;111.0;1971;Elovne, elpaneler;Elektricitet;0;Elvarme;Fritliggende enfamilieshus (parcelhus);Parcelhuse;Private husholdninger;1961-1972;134.3;14.907300000000001;1961-1972;143;15.873;710048.22;6095535.28;POINT(710048.22 6095535.28);
149;0a3f5085-9785-32b8-e044-0003ba298018;2480031;210;276.0;1961;Ingen varmeinstallationer;;90;Ingen varmeinstallation;Bygning til erhvervsmæssig produktion vedrørende landbrug, gartneri, råstofudvinding o.lign;Avls- og driftsbygning;Landbrug og gartneri;1961-1972;33.0;9.108;1961-1972;33;9.108;704031.99;6094008.47;POINT(704031.99 6094008.47);
150;0a3f5085-9ed5-32b8-e044-0003ba298018;2492276;120;128.0;1968;Fjernvarme/blokvarme (radiatorsystemer eller varmluftanlæg);;90;Fjernvarme/ Blokvarme;Fritliggende enfamilieshus (parcelhus);Parcelhuse;Private husholdninger;1961-1972;134.3;17.1904;1961-1972;143;18.304;709112.18;6097173.68;POINT(709112.18 6097173.68);
151;0a3f5086-6317-32b8-e044-0003ba298018;1317827;210;1900.0;1960;Centralvarme fra eget anlæg, et-kammer fyr;Flydende brændsel (olie, petroleum, flaskegas m.m.);0;Olie;Bygning til erhvervsmæssig produktion vedrørende landbrug, gartneri, råstofudvinding o.lign;Avls- og driftsbygning;Landbrug og gartneri;1951-1960;45.0;85.5;1951-1960;45;85.5;694568.9;6110716.79;POINT(694568.9 6110716.79);
152;0a3f5087-2c25-32b8-e044-0003ba298018;2114840;210;250.0;1985;Ingen varmeinstallationer;;0;Ingen varmeinstallation;Bygning til erhvervsmæssig produktion vedrørende landbrug, gartneri, råstofudvinding o.lign;Avls- og driftsbygning;Landbrug og gartneri;1979-1998;22.0;5.5;1979-1998;22;5.5;683811.36;6110007.85;POINT(683811.36 6110007.85);
153;0a3f5085-8aa6-32b8-e044-0003ba298018;2485680;120;139.0;1950;Centralvarme fra eget anlæg, et-kammer fyr;Flydende brændsel (olie, petroleum, flaskegas m.m.);0;Olie;Fritliggende enfamilieshus (parcelhus);Parcelhuse;Private husholdninger;1931-1950;164.1;22.8099;1931-1950;217;30.163;715709.32;6096475.84;POINT(715709.32 6096475.84);
