BBR!;Husnummer;Jordstykke;Anv. klasse;Opvarmet_areal;Bygningsår;Varmeinstallation;Opvarmnignsmiddel;SupplerendeVarme;Opvarmningsform;Bygningstype;Kategori;Sektor;SBi;Enhedsvarmebehov SBi kWh/m²;Varmebehov Sbi MWh/år;VpD;Enhedsvarmebehov VpD kWh/m²;Varmebehov VpD MWh/år;X;Y;Adressepunkt;Område
19;0a3f5086-6866-32b8-e044-0003ba298018;1314820;210;96.0;1900;Ingen varmeinstallationer;;0;Ingen varmeinstallation;Bygning til erhvervsmæssig produktion vedrørende landbrug, gartneri, råstofudvinding o.lign;Avls- og driftsbygning;Landbrug og gartneri;1890-1930;45.0;4.32;<1930;45;4.32;693911.91;6109458.97;POINT(693911.91 6109458.97);
20;0a3f5085-a2db-32b8-e044-0003ba298018;2484902;120;306.0;2012;Centralvarme fra eget anlæg, et-kammer fyr;Flydende brændsel (olie, petroleum, flaskegas m.m.);0;Olie;Fritliggende enfamilieshus (parcelhus);Parcelhuse;Private husholdninger;Efter 2006;67.3;20.593799999999998;>1998;72;22.032;703375.81;6089303.5;POINT(703375.81 6089303.5);
21;0a3f5085-6014-32b8-e044-0003ba298018;544029;120;111.0;1936;Centralvarme fra eget anlæg, et-kammer fyr;Flydende brændsel (olie, petroleum, flaskegas m.m.);2;Olie;Fritliggende enfamilieshus (parcelhus);Parcelhuse;Private husholdninger;1931-1950;164.1;18.2151;1931-1950;217;24.087;701018.86;6099960.53;POINT(701018.86 6099960.53);
22;0a3f5085-5db7-32b8-e044-0003ba298018;542502;210;100.0;1950;Ingen varmeinstallationer;;0;Ingen varmeinstallation;Bygning til erhvervsmæssig produktion vedrørende landbrug, gartneri, råstofudvinding o.lign;Avls- og driftsbygning;Landbrug og gartneri;1931-1950;45.0;4.5;1931-1950;45;4.5;695188.99;6104927.02;POINT(695188.99 6104927.02);
23;0a3f5087-3503-32b8-e044-0003ba298018;2112055;120;102.0;1973;Fjernvarme/blokvarme (radiatorsystemer eller varmluftanlæg);;0;Fjernvarme/ Blokvarme;Fritliggende enfamilieshus (parcelhus);Parcelhuse;Private husholdninger;1973-1978;119.8;12.2196;1973-1978;117;11.934;685219.66;6102201.86;POINT(685219.66 6102201.86);
24;0a3f5086-6238-32b8-e044-0003ba298018;1318719;120;108.0;2018;Fjernvarme/blokvarme (radiatorsystemer eller varmluftanlæg);;0;Fjernvarme/ Blokvarme;Fritliggende enfamilieshus (parcelhus);Parcelhuse;Private husholdninger;Efter 2006;67.3;7.2684;>1998;72;7.776;694126.72;6112419.82;POINT(694126.72 6112419.82);
25;0a3f5085-5fbe-32b8-e044-0003ba298018;541124;120;210.0;2015;Elovne, elpaneler;Elektricitet;1;Elvarme;Fritliggende enfamilieshus (parcelhus);Parcelhuse;Private husholdninger;Efter 2006;67.3;14.133;>1998;72;15.12;693315.55;6098850.34;POINT(693315.55 6098850.34);
26;0a3f5086-6a34-32b8-e044-0003ba298018;1314675;120;100.0;1940;Centralvarme fra eget anlæg, et-kammer fyr;Flydende brændsel (olie, petroleum, flaskegas m.m.);90;Olie;Fritliggende enfamilieshus (parcelhus);Parcelhuse;Private husholdninger;1931-1950;164.1;16.41;1931-1950;217;21.7;693906.64;6107848.43;POINT(693906.64 6107848.43);
27;0ea84e3c-5110-1cba-e044-0003ba298018;2667384;120;118.0;2007;Fjernvarme/blokvarme (radiatorsystemer eller varmluftanlæg);;90;Fjernvarme/ Blokvarme;Fritliggende enfamilieshus (parcelhus);Parcelhuse;Private husholdninger;Efter 2006;67.3;7.9414;>1998;72;8.496;693746.75;6112401.12;POINT(693746.75 6112401.12);
28;0a3f5087-2854-32b8-e044-0003ba298018;2112684;510;14.0;2002;Elovne, elpaneler;Elektricitet;0;Elvarme;Sommerhuse;Sommerhuse;Private husholdninger;1999-2006;90.8;1.2712;>1998;40;0.56;680788.85;6105108.59;POINT(680788.85 6105108.59);
